defendant_id,actual,pvalue
22574,innocent,0.29412630886753344
35637,innocent,0.4179805170806931
39919,innocent,0.17754163241083504
29610,guilty,0.015023132970753245
38273,innocent,0.0753708170973773
24461,innocent,0.29724053047700466
34327,guilty,0.02569837214601265
33406,guilty,0.03779054074357163
21355,innocent,0.39798444174512093
36240,guilty,0.020484037126749257
29547,innocent,0.9375369682436554
25344,innocent,0.32662089491472157
34805,innocent,0.2232718224277436
34608,innocent,0.7870278994627019
22256,innocent,0.33357503165564184
31885,guilty,0.0028373821070677985
34998,guilty,0.04647448968979116
29588,guilty,0.029838126100478368
24534,guilty,0.022856023670090698
28379,innocent,0.48050379865382736
20199,guilty,0.04115561345930696
22752,guilty,0.029863946147044462
25061,guilty,0.042537360113375194
26718,guilty,0.009603316667469853
24945,guilty,0.019160146737734127
28713,guilty,0.039703814800265136
35715,guilty,0.007922716883679293
23662,guilty,0.04114341807322724
25828,innocent,0.9108067550972568
33465,guilty,0.03113595896909363
28796,guilty,0.040524198147885604
38076,innocent,0.7210520844890026
38749,innocent,0.4060294828670646
34027,innocent,0.6041392225447861
24041,innocent,0.7533288301995699
39938,guilty,0.014698693702824867
21617,innocent,0.14114208196432063
27678,guilty,0.031192323317218204
35133,guilty,0.005607452785802336
27959,guilty,0.018717914966722867
25202,innocent,0.9215078171693833
35221,innocent,0.050932765996244155
29430,guilty,0.2938137988200562
27041,innocent,0.7397669494375639
29092,guilty,0.1459556810411771
29704,guilty,0.013867703476950145
35777,guilty,0.01152631608528555
33373,innocent,0.5901522937559985
33224,innocent,0.21588325934777094
29012,guilty,0.12423565815957255
37628,innocent,0.39389275092150927
20937,guilty,0.04558651448543215
39954,guilty,0.03821966863805116
21144,innocent,0.4547929892194129
38006,innocent,0.73602294146321
21697,innocent,0.9935255119183629
26079,guilty,0.1427901311894518
26641,guilty,0.03097676221979441
31895,guilty,0.02947378287910741
38898,guilty,0.03188273668319251
36450,guilty,0.007232326204190093
20463,innocent,0.26119183986670064
21583,innocent,0.3744128194854468
21099,innocent,0.9581690764890969
37100,innocent,0.6687158826064017
38112,guilty,0.02245979426618143
23408,innocent,0.36014298525143035
37572,innocent,0.05425514437462549
35681,innocent,0.8810730643896352
29126,innocent,0.6422079400422848
31597,innocent,0.6467133931161214
25523,guilty,0.05781513374580679
35712,innocent,0.2933592572352532
23643,guilty,0.008061518782243976
33758,innocent,0.9669140248850321
28697,innocent,0.9443279556250627
31579,innocent,0.23523207137088467
37764,innocent,0.27148602387450343
30961,guilty,0.011181827940585226
26573,innocent,0.507121070605716
35639,guilty,0.3618525094938224
20433,guilty,0.039304319844627345
39530,guilty,0.03624728023455564
39218,guilty,0.03218485442852007
33500,guilty,0.04452649220705645
34720,guilty,0.005700590855466242
29004,innocent,0.42879410940893126
29207,guilty,0.004484406502354693
33726,guilty,0.026271062815653046
36432,guilty,0.017098548508060103
37870,guilty,0.01445225476549123
21526,guilty,0.01633968591373194
39700,innocent,0.20875212420371647
34308,guilty,0.027964407398938504
26471,guilty,0.047697027701858415
30668,guilty,0.03529532075796198
23782,guilty,0.027621981403402524
24490,guilty,0.001359842752829582
32914,guilty,0.03251892671057291
26466,guilty,0.0327767582528073
30319,innocent,0.5122985007334678
24174,innocent,0.14315252945129955
21057,innocent,0.4811002389710645
39558,innocent,0.4344221765078668
21884,guilty,0.01941240668973501
35572,guilty,0.025612532588653147
25731,innocent,0.2660869274333747
22727,guilty,0.22298134492961105
23985,guilty,0.015059698782812264
21644,guilty,0.000953186695133318
20080,guilty,0.014185602662552178
22290,guilty,0.022021175283458982
25984,innocent,0.7876808212015112
37715,guilty,0.001288210004675783
30138,innocent,0.2332830382021718
27276,innocent,0.42342555444276936
36963,innocent,0.6785419629373226
33156,innocent,0.5652569860782166
22473,guilty,0.04711564390072442
32657,guilty,0.024645550371109905
28959,guilty,0.0012512231726038048
30925,guilty,0.015946100728614566
35320,guilty,0.0289371776209031
24785,innocent,0.9900471585546256
23299,guilty,0.035255324443530446
30192,innocent,0.1982917666645651
30738,innocent,0.6921279650919416
37505,guilty,0.04283926923221287
31833,innocent,0.9814922749302578
36028,guilty,0.034878145544239576
33921,guilty,0.03536481664075644
38271,innocent,0.548900246101017
21814,innocent,0.7238557748148791
33995,guilty,0.011020140884772774
27360,innocent,0.9012708412631375
37721,guilty,0.07962652262516529
29329,guilty,0.01805847811618851
38508,innocent,0.9143558992856522
34731,innocent,0.6202361198607921
33254,guilty,0.013515266398962562
22021,guilty,0.023129803653171657
24454,innocent,0.35631490287791
26351,guilty,0.008447122669126578
31222,guilty,0.03535496112955066
26136,guilty,0.13622980889283162
26840,innocent,0.34724781658045334
30052,innocent,0.9403274676614258
39511,innocent,0.16516125095247297
28855,guilty,0.0020472001558600795
32137,innocent,0.971034427159235
38777,guilty,0.031714455623961295
38739,guilty,0.007411353773386942
21848,innocent,0.6997550486000133
30671,guilty,0.04050398336545215
37025,innocent,0.8137305621249131
35875,guilty,0.014023221310235335
23072,guilty,0.03419441819918225
32127,innocent,0.6340439057998034
26050,innocent,0.2206212399510965
31527,innocent,0.8110350277729302
36679,innocent,0.18204532066174048
27896,guilty,0.033901430862080605
39363,guilty,0.0009220431394739826
28843,guilty,0.017819301708445163
33324,innocent,0.6089203752484098
20291,innocent,0.10433351622813647
32041,innocent,0.2034909434098151
34515,guilty,0.02780050811744593
24394,guilty,0.007739143127720322
24142,innocent,0.15311915568105416
31626,guilty,0.020535542997936043
37152,guilty,0.02578904597746053
22996,innocent,0.4592219431965604
32452,guilty,0.01324483851736269
24152,innocent,0.9588776978306528
28446,guilty,0.09496528759029074
39694,innocent,0.7334716638047957
27433,innocent,0.319414268187395
32852,innocent,0.4714873047407777
27245,guilty,0.010668281851108675
38265,guilty,0.012449713243108358
28630,innocent,0.6266256116886741
26597,innocent,0.16718042777730766
33920,guilty,0.389906492726288
32970,guilty,0.04883773187318685
21463,innocent,0.7265626558919867
33927,innocent,0.1265515535423938
21623,guilty,0.002748032715688159
34481,innocent,0.764584670606625
24911,innocent,0.9717250548159945
23674,innocent,0.9894390619506555
29122,innocent,0.673743614449131
26235,innocent,0.625171867235544
20687,guilty,0.022736302421569293
22950,guilty,0.009125717208771728
31824,guilty,0.02682510735664749
28485,guilty,0.006811889900206547
29057,innocent,0.2279172040844765
36012,guilty,0.02972489896300719
22494,innocent,0.9352274998912895
21981,guilty,5.4324000470179495e-05
34141,innocent,0.47617764587075573
32986,innocent,0.807959073827313
22108,guilty,0.04743388963184636
22549,innocent,0.3615309014548004
36178,innocent,0.1961371508326407
37512,guilty,0.2467664274836618
